symbol,report,period_q,item_id,value
ADC,cash_flow,2019Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,29517886490.0
ADC,cash_flow,2019Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-5648426875.0
ADC,cash_flow,2019Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-11384859946.0
ADC,cash_flow,2019Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,431368218.0
ADC,cash_flow,2018Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,19817046577.0
ADC,cash_flow,2018Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-1286875451.0
ADC,cash_flow,2018Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-11585237082.0
ADC,cash_flow,2018Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-1241985123.0
AMC,balance_sheet,2025Q4,BS_TOTAL_ASSETS,105830669637.0
AMC,balance_sheet,2025Q4,BS_TOTAL_LIABILITIES,50997654818.0
AMC,balance_sheet,2025Q4,BS_SHORT_TERM_LIABILITIES,38903715376.0
AMC,balance_sheet,2025Q3,BS_TOTAL_ASSETS,106985729500.0
AMC,balance_sheet,2025Q3,BS_TOTAL_LIABILITIES,53499239732.0
AMC,balance_sheet,2025Q3,BS_SHORT_TERM_LIABILITIES,39865025633.0
AMC,balance_sheet,2025Q2,BS_TOTAL_ASSETS,109034889616.0
AMC,balance_sheet,2025Q2,BS_TOTAL_LIABILITIES,57809348631.0
AMC,balance_sheet,2025Q2,BS_SHORT_TERM_LIABILITIES,44282659875.0
AMC,balance_sheet,2025Q1,BS_TOTAL_ASSETS,104825797907.0
AMC,balance_sheet,2025Q1,BS_TOTAL_LIABILITIES,50652972288.0
AMC,balance_sheet,2025Q1,BS_SHORT_TERM_LIABILITIES,37407084144.0
AMC,balance_sheet,2024Q4,BS_TOTAL_ASSETS,102075915653.0
AMC,balance_sheet,2024Q4,BS_TOTAL_LIABILITIES,49194601543.0
AMC,balance_sheet,2024Q4,BS_SHORT_TERM_LIABILITIES,38663625147.0
AMC,balance_sheet,2024Q3,BS_TOTAL_ASSETS,89603397365.0
AMC,balance_sheet,2024Q3,BS_TOTAL_LIABILITIES,38064165574.0
AMC,balance_sheet,2024Q3,BS_SHORT_TERM_LIABILITIES,31080673443.0
AMC,balance_sheet,2024Q2,BS_TOTAL_ASSETS,85411432470.0
AMC,balance_sheet,2024Q2,BS_TOTAL_LIABILITIES,35632899319.0
AMC,balance_sheet,2024Q2,BS_SHORT_TERM_LIABILITIES,31953938200.0
AMC,balance_sheet,2024Q1,BS_TOTAL_ASSETS,75043722128.0
AMC,balance_sheet,2024Q1,BS_TOTAL_LIABILITIES,22389108162.0
AMC,balance_sheet,2024Q1,BS_SHORT_TERM_LIABILITIES,19709178294.0
AMC,balance_sheet,2023Q4,BS_TOTAL_ASSETS,78335288000.0
AMC,balance_sheet,2023Q4,BS_TOTAL_LIABILITIES,27144949167.0
AMC,balance_sheet,2023Q4,BS_SHORT_TERM_LIABILITIES,24350850550.0
AMC,balance_sheet,2023Q3,BS_TOTAL_ASSETS,79279123712.0
AMC,balance_sheet,2023Q3,BS_TOTAL_LIABILITIES,29438129707.0
AMC,balance_sheet,2023Q3,BS_SHORT_TERM_LIABILITIES,26365950484.0
AMC,balance_sheet,2023Q2,BS_TOTAL_ASSETS,76747795303.0
AMC,balance_sheet,2023Q2,BS_TOTAL_LIABILITIES,28925254868.0
AMC,balance_sheet,2023Q2,BS_SHORT_TERM_LIABILITIES,25953995039.0
AMC,balance_sheet,2023Q1,BS_TOTAL_ASSETS,74224159737.0
AMC,balance_sheet,2023Q1,BS_TOTAL_LIABILITIES,23061901918.0
AMC,balance_sheet,2023Q1,BS_SHORT_TERM_LIABILITIES,19773561483.0
AMC,balance_sheet,2022Q4,BS_TOTAL_ASSETS,74875430215.0
AMC,balance_sheet,2022Q4,BS_TOTAL_LIABILITIES,24903955254.0
AMC,balance_sheet,2022Q4,BS_SHORT_TERM_LIABILITIES,21716534213.0
AMC,balance_sheet,2022Q3,BS_TOTAL_ASSETS,81831662110.0
AMC,balance_sheet,2022Q3,BS_TOTAL_LIABILITIES,31982090063.0
AMC,balance_sheet,2022Q3,BS_SHORT_TERM_LIABILITIES,28475757480.0
AMC,balance_sheet,2022Q2,BS_TOTAL_ASSETS,81515426857.0
AMC,balance_sheet,2022Q2,BS_TOTAL_LIABILITIES,33663394630.0
AMC,balance_sheet,2022Q2,BS_SHORT_TERM_LIABILITIES,30256150505.0
AMC,balance_sheet,2022Q1,BS_TOTAL_ASSETS,80786397123.0
AMC,balance_sheet,2022Q1,BS_TOTAL_LIABILITIES,28511806754.0
AMC,balance_sheet,2022Q1,BS_SHORT_TERM_LIABILITIES,24785651087.0
AMC,balance_sheet,2021Q4,BS_TOTAL_ASSETS,85504247036.0
AMC,balance_sheet,2021Q4,BS_TOTAL_LIABILITIES,35144339247.0
AMC,balance_sheet,2021Q4,BS_SHORT_TERM_LIABILITIES,31517272038.0
