symbol,pre_quarters,baseline_liab_ratio,HL67
FCN,8,0.4610194414546522,0
FDC,8,0.34263279565044824,0
FID,8,0.11960147431269244,0
FIR,8,0.4788470106520076,1
FIT,8,0.12456303462252805,0
FMC,8,0.5174391820935255,1
FPT,8,0.4702437263893432,0
FRT,8,0.7717318520429785,1
FTS,8,0.18698814481359852,0
GAS,8,0.19626922984913991,0
GDT,8,0.1969554546698693,0
GDW,5,0.34286931484107436,0
GEG,8,0.11929663383757348,0
GEX,8,0.37804074970902973,0
GIL,8,0.5927692048873479,1
GKM,8,0.2874510973849584,0
GLT,8,0.3313681818521028,0
GMD,8,0.15310159823297365,0
GMX,8,0.3546052630506865,0
GSP,8,0.24092352966615815,0
GTA,8,0.7406720616412228,1
HAD,8,0.4980866213564351,1
HAG,8,0.2617003203626328,0
HAH,8,0.15712645592819485,0
HAR,8,0.015623125253892693,0
HAS,8,0.3540842032905721,0
HAT,8,0.6283079368407345,1
HAX,8,0.7372800604001841,1
HBS,8,0.0029279853467815992,0
HCC,8,0.4932807810984724,1
HCD,8,0.19298816690832826,0
HCM,8,0.4214933478853943,0
HCT,8,0.14744386195578757,0
HDA,8,0.32491066118058887,0
HDC,8,0.3085076593424675,0
HDG,8,0.301749587677674,0
HEV,8,0.2954959398289527,0
HGM,8,0.11251908083189437,0
HHC,8,0.2770031458560178,0
HHS,8,0.057230104534713624,0
HID,8,0.12489990437234343,0
HII,8,0.6279314198435595,1
HJS,8,0.14475968143190682,0
HKT,8,0.18539235183727473,0
HLC,8,0.2346978289666637,0
HLD,8,0.435931693413418,0
HMC,8,0.6246330322659821,1
HMH,8,0.06071591186675023,0
HOM,8,0.4334945774163832,0
HPG,8,0.28567796352438446,0
HPX,8,0.3352890416332188,0
HQC,8,0.32354134325337114,0
HRC,8,0.12000687782953919,0
HSG,8,0.5448866623791214,1
HSL,8,0.0677674782139111,0
HT1,8,0.344843112467054,0
HTC,8,0.19548525213969428,0
HTI,8,0.03805296716282333,0
HTL,8,0.523176863430951,1
HTN,8,0.8133647687465699,1
HTV,8,0.18201255147205347,0
HU1,8,0.723502530518938,1
HUB,8,0.32056951240691345,0
HUT,8,0.15014538380444148,0
HVH,7,0.21159762632908521,0
HVN,8,0.40618815155915816,0
HVT,8,0.43949427045530753,0
ICG,8,0.22502638901081376,0
IDC,7,0.11597770157622515,0
IDI,8,0.5145049122683417,1
IDJ,8,0.1805486561259958,0
IDV,8,0.07367771965259397,0
IJC,8,0.6048355539928425,1
ILB,8,0.2076163506745052,0
IMP,8,0.12828912605840254,0
INC,8,0.2726895665325391,0
INN,8,0.3260366996087561,0
ITC,8,0.3382658551465593,0
ITD,8,0.2739687849450897,0
ITQ,8,0.4037604974297392,0
IVS,8,0.012943464488365286,0
JVC,8,0.19903929942366147,0
KBC,8,0.22884626825707705,0
KDC,8,0.2110712121281622,0
KDH,8,0.23141496404904652,0
KDM,8,0.14538056385172282,0
KHP,8,0.32731384598759683,0
KHS,8,0.4512577652470323,0
KKC,8,0.5467616829495562,1
KMR,8,0.33799885294093135,0
KMT,8,0.822989073731941,1
