symbol,liab_exp,wc_exp,inv_exp,recv_exp,fixed_exp,liab_exp_high,wc_exp_high,inv_exp_high,recv_exp_high,fixed_exp_high,double_exposure,physical_chain,receivable_heavy,rollover_assetlight,shock_amp_score,shock_amplifier,trade_credit_chain
DHG,-0.4568898442154186,-0.6292902852610938,-0.5714555558783182,-0.3585420489974075,-0.5970228403043778,0,0,0,1,0,0,0,0,0,-1.0861801294765124,0,0
DHM,1.6077242657570334,2.588042033867638,2.667878895613542,0.7215222046249972,-0.6205792441087938,1,1,1,1,0,1,1,1,1,4.195766299624671,1,1
DIG,1.1461871397800236,1.260771615251163,0.3860930089579798,1.572633806825823,-0.5551922743739679,1,1,1,1,0,1,0,1,1,2.4069587550311866,1,1
DLD,-0.7498204431723346,-0.8908391704566322,-0.9094744070902212,-0.4329938196017561,-0.6477964708720174,0,0,0,0,0,0,0,0,0,-1.6406596136289668,0,0
DLG,0.6427829885622543,0.1263007919643524,-0.4417322955058561,1.2467895091690697,-0.5828348208168656,1,1,0,1,0,1,0,1,0,0.7690837805266067,0,1
DMC,-0.3907446254632198,-0.6628550756064028,-0.6266640766709272,-0.3488235426980281,-0.6048876199369234,0,0,0,1,0,0,0,0,0,-1.0535997010696226,0,0
DNC,-0.458505071664218,-0.857231647133809,-0.9101568235178524,-0.3728774666350014,-0.6394597566891206,0,0,0,1,0,0,0,0,0,-1.315736718798027,0,0
DNP,-0.9410360458099884,-0.8245248154047096,-0.8563227535229837,-0.3227782128647734,-0.6498284568502302,0,0,0,1,0,0,0,0,0,-1.765560861214698,0,0
DP3,-0.7705456836618424,-0.7733637675509929,-0.7572191383290515,-0.3910971229890469,-0.6383131549113019,0,0,0,0,0,0,0,0,0,-1.5439094512128353,0,0
DPG,0.8976918504258926,0.5150498538030219,0.5135334154704851,0.061579125985806,-0.6125869618296415,1,1,1,1,0,1,0,0,1,1.4127417042289146,1,0
DPM,0.0706202045588568,-0.6808185991282617,-0.6835869128531781,-0.3214517505150247,-0.6016587457273857,1,0,0,1,0,0,0,0,0,-0.6101983945694049,0,0
DPR,-1.0994108094760957,-0.8583225465644187,-0.8954361816785867,-0.3851330320765429,-0.5930252409661431,0,0,0,1,0,0,0,0,0,-1.9577333560405143,0,0
DQC,0.9394750587049938,1.5756191112717563,1.1721526760962197,0.8923834622065148,-0.5820732745080743,1,1,1,1,0,1,1,1,1,2.51509416997675,1,1
DRC,0.0287580343547115,-0.1495431299011585,-0.1451863772344126,-0.2346844552929109,-0.0764750279573525,1,0,1,1,1,0,0,0,0,-0.1207850955464469,0,0
DRH,1.3150155459339175,1.4698564526290707,1.667957948718612,0.1611912255670054,-0.624444453136153,1,1,1,1,0,1,1,0,1,2.7848719985629883,1,1
DRL,-1.475782684579096,-0.999359406178973,-0.9416236146404228,-0.4969269499432351,-0.633951716919541,0,0,0,0,0,0,0,0,0,-2.475142090758069,0,0
