symbol,pre_quarters,liab_ratio,nwc_tied_ratio,fixed_ratio,operating_margin,HighLiab_TopTercile,CashConversionTrap,DoubleExposure_TopTercile,FragileLowMarginFunding,AssetCommitmentMismatch
GSP,8,0.24092352966615815,0.07584727378932651,0.3300069937841641,0.06104876429171537,0,0,0,0,0
GTA,8,0.7406720616412228,0.245079326515574,0.06390658107703381,0.03676559807535404,1,0,0,0,0
HAD,8,0.4980866213564351,0.23938091403598932,0.23318131757137128,0.07662485469727298,1,0,0,0,0
HAG,8,0.2617003203626328,0.11887025198297166,0.23624815607174954,-0.03907571526952444,0,0,0,0,0
HAH,8,0.15712645592819485,0.10574650526403735,0.4682759829396435,0.15360727335747626,0,0,0,0,0
HAR,8,0.015623125253892693,0.06520946534174699,0.19050266463904814,0.029799038266977256,0,0,0,0,0
HAS,8,0.3540842032905721,0.6751496748067964,0.014292312762522437,0.0284388244518231,0,1,0,0,0
HAT,8,0.6283079368407345,-0.0020567384755858613,0.13048343389127248,0.03317775593443675,1,0,0,0,0
HAX,8,0.7372800604001841,0.6120607639015826,0.20809662423599695,-0.001328645441167053,1,1,1,1,0
HBS,8,0.0029279853467815992,0.010058826377567033,0.010306538096303495,,0,0,0,0,0
HCC,8,0.4932807810984724,0.3558174984603655,0.33119217315588456,0.05368589443167972,1,0,0,0,1
HCD,8,0.19298816690832826,0.6035171474084284,0.17974067133364396,0.049873253397559256,0,1,0,0,0
HCM,8,0.4214933478853943,0.09999259949497745,0.0072535693358389865,,0,0,0,0,0
HCT,8,0.14744386195578757,0.32192140076669423,0.4247504349781538,0.02458417997523874,0,0,0,0,0
HDA,8,0.32491066118058887,0.42684478325678676,0.28631330278347156,0.0624795634214234,0,0,0,0,0
HDC,8,0.3085076593424675,0.7009748640592643,0.030879586944798317,0.15628329838150917,0,1,0,0,0
HDG,8,0.301749587677674,0.43343838822591263,0.19603301630757805,0.260238350476928,0,1,0,0,0
HEV,8,0.2954959398289527,0.4453672387660103,0.0,0.0680770217999748,0,1,0,0,0
HGM,8,0.11251908083189437,0.0930518065976908,0.1519803508555133,0.26318405465789363,0,0,0,0,0
HHC,8,0.2770031458560178,0.3841644955675287,0.23951568166897125,0.030070415293012676,0,0,0,0,0
HHS,8,0.057230104534713624,0.12052688934718112,0.006820570463210393,0.27960161824178087,0,0,0,0,0
HID,8,0.12489990437234343,0.29721791977073675,0.0005439199476912537,0.011908569729734466,0,0,0,0,0
HII,8,0.6279314198435595,0.22315690456117895,0.21233427718241984,0.013514796111192117,1,0,0,1,0
HJS,8,0.14475968143190682,0.07870436436213246,0.8459021346085962,0.2808432694495121,0,0,0,0,0
HKT,8,0.18539235183727473,0.28753384788364356,0.15797840106140137,0.02773850564542722,0,0,0,0,0
HLC,8,0.2346978289666637,0.044436161694062865,0.7563953755102912,0.029668436495779292,0,0,0,0,0
HLD,8,0.435931693413418,0.6593668013315677,0.06626472316038629,0.1779517187398315,0,1,0,0,0
HMC,8,0.6246330322659821,0.7223153273654018,0.031466304168171824,0.01921997458081006,1,1,1,1,0
HMH,8,0.06071591186675023,0.12857501573558522,0.47213204549735316,0.1068298985435277,0,0,0,0,0
HOM,8,0.4334945774163832,0.1540309839015382,0.464078463120569,0.00799561319901497,0,0,0,0,0
HPG,8,0.28567796352438446,0.17627602765452793,0.17655227035337168,0.14889456869610396,0,0,0,0,0
HPX,8,0.3352890416332188,0.37807847775951187,0.0499340376973057,0.17742111496079596,0,0,0,0,0
HQC,8,0.32354134325337114,0.6227271650438342,0.0013775234658080521,0.10861535123946636,0,1,0,0,0
HRC,8,0.12000687782953919,0.02358760499917762,0.24286145093569506,0.0031761037171158715,0,0,0,0,0
HSG,8,0.5448866623791214,0.30234278762978284,0.4156348101087537,0.013565458805825437,1,0,0,1,1
HSL,8,0.0677674782139111,0.5813546214371337,0.05809155226683829,0.1011821862273688,0,1,0,0,0
HT1,8,0.344843112467054,0.03620555199269827,0.6991224728862329,0.10178162214315375,0,0,0,0,0
HTC,8,0.19548525213969428,0.028142583472432987,0.05049157352447674,0.023442103565359106,0,0,0,0,0
HTI,8,0.03805296716282333,0.004791972475264772,0.80663316889873,0.1941205668609421,0,0,0,0,0
HTL,8,0.523176863430951,0.505270585399541,0.11926112820069584,-0.0004870584706179921,1,1,1,1,0
HTN,8,0.8133647687465699,0.7405371349605684,0.013400755672840155,0.055493055971852494,1,1,1,0,0
HTV,8,0.18201255147205347,0.20893326655881472,0.3311405316546231,0.14600172395865813,0,0,0,0,0
HU1,8,0.723502530518938,0.7476775234538419,0.003039668934952905,0.01892022181506957,1,1,1,1,0
HUB,8,0.32056951240691345,0.2588348660753945,0.11944335044721724,0.16452740319462725,0,0,0,0,0
HUT,8,0.15014538380444148,0.11213512164839073,0.3973582885916075,0.08523414628567758,0,0,0,0,0
HVH,7,0.21159762632908521,0.4296391057071264,0.148764489346457,0.12191205349306979,0,0,0,0,0
HVN,8,0.40618815155915816,-0.013316117251827214,0.6109991449195606,0.01610152817120045,0,0,0,0,0
HVT,8,0.43949427045530753,0.2516804108492768,0.439913771126915,0.10789964125257125,0,0,0,0,0
ICG,8,0.22502638901081376,0.5785234165749161,0.11605099537539462,0.11696128661382452,0,1,0,0,0
IDC,7,0.11597770157622515,0.08138698385636937,0.45147293465244487,0.10780126316828523,0,0,0,0,0
IDI,8,0.5145049122683417,0.43634930320984294,0.1549048201460276,0.08555322494424306,1,1,1,0,0
IDJ,8,0.1805486561259958,0.1472215963032813,0.04776634516749928,0.015368479542674769,0,0,0,0,0
IDV,8,0.07367771965259397,0.09142246118221041,0.06616906481473361,0.9373525581109734,0,0,0,0,0
IJC,8,0.6048355539928425,0.4158721779960081,0.06702576753690623,0.23116578540766627,1,0,0,0,0
ILB,8,0.2076163506745052,0.05114979777416277,0.5151728976253045,0.20046035157287234,0,0,0,0,0
IMP,8,0.12828912605840254,0.30874441776177575,0.17368012880609343,0.14359066010758187,0,0,0,0,0
INC,8,0.2726895665325391,0.646900497276146,0.23943188921942715,0.10099344292423415,0,1,0,0,0
INN,8,0.3260366996087561,0.35243334860934544,0.37821056705958356,0.07872233252558686,0,0,0,0,0
ITC,8,0.3382658551465593,0.8322707587618787,0.016837105209039437,0.12422453517511238,0,1,0,0,0
ITD,8,0.2739687849450897,0.42864511962517715,0.14285359719607676,0.08139766458241687,0,0,0,0,0
ITQ,8,0.4037604974297392,0.5912402674192967,0.17042956579401122,0.002857811120677219,0,1,0,0,0
IVS,8,0.012943464488365286,0.037298929456889854,0.01346163272196229,,0,0,0,0,0
JVC,8,0.19903929942366147,0.2420284009508079,0.48727610694668744,-0.01314676907085934,0,0,0,0,0
KBC,8,0.22884626825707705,0.8132277761122253,0.01004816765744184,0.45178550902865366,0,1,0,0,0
KDC,8,0.2110712121281622,0.12615516734632848,0.2350208801751914,0.027777364180919806,0,0,0,0,0
KDH,8,0.23141496404904652,0.7528123684675714,0.003381397192071418,0.378020258539394,0,1,0,0,0
KDM,8,0.14538056385172282,0.25095021170053194,0.06108876333457482,0.013542917724077948,0,0,0,0,0
