shock,event_date,trade_date,horizon,group,treated_car,control_car,diff,p,n_t,n_c
ACTS_z,2020-04-07,2020-04-07,post1,AssetCommitmentMismatch,0.016463826460496107,0.005904300296759442,0.010559526163736666,0.1949031910227539,31,252
ACTS_z,2020-04-07,2020-04-07,post5,HighLiab_TopTercile,0.01814849881522943,0.020981150857686568,-0.0028326520424571365,0.7687353737630874,93,214
ACTS_z,2020-04-07,2020-04-07,post5,CashConversionTrap,0.013075435695391088,0.020943137204031813,-0.007867701508640725,0.6022158912227171,32,275
ACTS_z,2020-04-07,2020-04-07,post5,DoubleExposure_TopTercile,0.024241502444526983,0.01934086454875752,0.004900637895769461,0.7144632572509051,49,258
ACTS_z,2020-04-07,2020-04-07,post5,FragileLowMarginFunding,0.004706457456509078,0.021916981944556265,-0.017210524488047187,0.21145500456393002,32,275
ACTS_z,2020-04-07,2020-04-07,post5,AssetCommitmentMismatch,0.035761787097381516,0.018303270859072924,0.017458516238308592,0.24932576862987543,32,275
ACTS_z,2020-04-07,2020-04-07,post20,HighLiab_TopTercile,0.09952455994738592,0.0598151070374051,0.03970945290998082,0.03830705527863556,99,220
ACTS_z,2020-04-07,2020-04-07,post20,CashConversionTrap,0.09661072102217301,0.06931503912338675,0.027295681898786256,0.3740545637101486,33,286
ACTS_z,2020-04-07,2020-04-07,post20,DoubleExposure_TopTercile,0.14104813891622311,0.05933029010114933,0.08171784881507378,0.0013903944354087163,50,269
ACTS_z,2020-04-07,2020-04-07,post20,FragileLowMarginFunding,0.057602171749639566,0.073930207647123,-0.01632803589748344,0.6417110909171105,35,284
ACTS_z,2020-04-07,2020-04-07,post20,AssetCommitmentMismatch,0.14408451841360975,0.06411690032677635,0.0799676180868334,0.005778769912377197,32,287
ACTS_z,2020-04-07,2020-04-07,pre5,HighLiab_TopTercile,-0.004793688731405629,-0.012979675667602154,0.008185986936196526,0.34549492705824475,95,216
ACTS_z,2020-04-07,2020-04-07,pre5,CashConversionTrap,-0.030569893050821757,-0.008094258643915404,-0.022475634406906354,0.08235719972665594,33,278
ACTS_z,2020-04-07,2020-04-07,pre5,DoubleExposure_TopTercile,-0.0034746336163227064,-0.011820991160419406,0.0083463575440967,0.5006113480872353,50,261
ACTS_z,2020-04-07,2020-04-07,pre5,FragileLowMarginFunding,-0.013977140714810888,-0.010091853612594508,-0.0038852871022163806,0.7394987715624154,31,280
ACTS_z,2020-04-07,2020-04-07,pre5,AssetCommitmentMismatch,0.002810212856947906,-0.011897924410654936,0.014708137267602842,0.21436666659507897,30,281
ACTS_z,2020-11-03,2020-11-03,post1,HighLiab_TopTercile,0.0009666254077818033,0.005414330695100142,-0.004447705287318338,0.197032736460152,87,199
ACTS_z,2020-11-03,2020-11-03,post1,CashConversionTrap,0.00010111017297295688,0.004560286193963822,-0.004459176020990865,0.4219356462750136,32,254
ACTS_z,2020-11-03,2020-11-03,post1,DoubleExposure_TopTercile,-0.0024192195460998847,0.005335780491500585,-0.007755000037600469,0.11217883919739421,47,239
ACTS_z,2020-11-03,2020-11-03,post1,FragileLowMarginFunding,0.002161362436094489,0.004235402749372815,-0.0020740403132783257,0.7356898934626499,24,262
ACTS_z,2020-11-03,2020-11-03,post1,AssetCommitmentMismatch,0.005288710504225786,0.003928156297223346,0.0013605542070024403,0.7106715359668556,28,258
ACTS_z,2020-11-03,2020-11-03,post5,HighLiab_TopTercile,0.019101570001641668,0.012248716111490053,0.006852853890151615,0.3211345775503481,95,213
ACTS_z,2020-11-03,2020-11-03,post5,CashConversionTrap,0.010226904271035356,0.014841901250834089,-0.004614996979798733,0.6437953430847848,32,276
ACTS_z,2020-11-03,2020-11-03,post5,DoubleExposure_TopTercile,0.015436782933037367,0.014164077311990564,0.0012727056210468032,0.9027001190168452,48,260
ACTS_z,2020-11-03,2020-11-03,post5,FragileLowMarginFunding,0.013613633161793376,0.014446220411147095,-0.0008325872493537192,0.9464204824611436,31,277
ACTS_z,2020-11-03,2020-11-03,post5,AssetCommitmentMismatch,0.018680246122632287,0.01389646869864882,0.004783777423983468,0.5707628934929077,30,278
ACTS_z,2020-11-03,2020-11-03,post20,HighLiab_TopTercile,0.06834752014555101,0.05498508470231772,0.01336243544323329,0.44265279532161134,102,217
ACTS_z,2020-11-03,2020-11-03,post20,CashConversionTrap,0.04928608843231443,0.060408285024415295,-0.011122196592100862,0.5759605659194664,33,286
ACTS_z,2020-11-03,2020-11-03,post20,DoubleExposure_TopTercile,0.0738712727514598,0.05641162641263385,0.01745964633882595,0.5490388228448443,52,267
ACTS_z,2020-11-03,2020-11-03,post20,FragileLowMarginFunding,0.050246501107343855,0.06040401553139494,-0.010157514424051085,0.6801098410000026,36,283
ACTS_z,2020-11-03,2020-11-03,post20,AssetCommitmentMismatch,0.048666418752813204,0.06043862381588545,-0.01177220506307225,0.4752111114779121,32,287
ACTS_z,2020-11-03,2020-11-03,pre5,HighLiab_TopTercile,0.007646730535892511,0.005342845462599054,0.0023038850732934567,0.7030460004052913,95,212
ACTS_z,2020-11-03,2020-11-03,pre5,CashConversionTrap,0.0033672022020012947,0.006379580169031916,-0.0030123779670306215,0.7669294319555873,33,274
ACTS_z,2020-11-03,2020-11-03,pre5,DoubleExposure_TopTercile,0.0038213821822737654,0.0064801353180208255,-0.00265875313574706,0.7613986241241952,49,258
ACTS_z,2020-11-03,2020-11-03,pre5,FragileLowMarginFunding,0.013906104572851775,0.005142281064180113,0.008763823508671663,0.36928029104037197,32,275
ACTS_z,2020-11-03,2020-11-03,pre5,AssetCommitmentMismatch,0.009641708461143227,0.005653006074946911,0.003988702386196316,0.588362462474745,31,276
ACTS_z,2021-11-22,2021-11-22,post1,HighLiab_TopTercile,-0.0026969415591527593,0.005669844055435812,-0.00836678561458857,0.06859650452225126,97,212
ACTS_z,2021-11-22,2021-11-22,post1,CashConversionTrap,-0.007180254384870294,0.004265768127591646,-0.011446022512461941,0.08151460469147559,33,276
ACTS_z,2021-11-22,2021-11-22,post1,DoubleExposure_TopTercile,-0.003770332419108103,0.00442202682610193,-0.008192359245210033,0.13325104768646126,52,257
ACTS_z,2021-11-22,2021-11-22,post1,FragileLowMarginFunding,-0.006481125718923501,0.004143680980217063,-0.010624806699140565,0.15295330450917238,32,277
ACTS_z,2021-11-22,2021-11-22,post1,AssetCommitmentMismatch,-0.0028164060830122573,0.0036968064643451604,-0.006513212547357417,0.40346952503126604,31,278
ACTS_z,2021-11-22,2021-11-22,post5,HighLiab_TopTercile,0.02320810503764338,0.01822170955455491,0.00498639548308847,0.6037378772566604,103,220
ACTS_z,2021-11-22,2021-11-22,post5,CashConversionTrap,0.02482895118376655,0.01924088114418984,0.0055880700395767105,0.7438504383492378,33,290
ACTS_z,2021-11-22,2021-11-22,post5,DoubleExposure_TopTercile,0.026151048178228407,0.018567427286789794,0.007583620891438613,0.5649920145945463,53,270
